merchant_id,merchant_category,merchant_size,avg_transaction_value,monthly_transaction_volume,baseline_success_rate,primary_payment_method,geography,subscription_enabled
M00068,Retail,Medium,1484.79,14401,0.925,Debit Card,North,False
M00069,Education,Small,6609.92,2675,0.94,Credit Card,North,False
M00070,Food Delivery,Large,1135.06,81162,0.925,Debit Card,West,False
M00071,Retail,Small,2636.03,1561,0.925,Debit Card,South,False
M00072,Media,Small,869.89,2301,0.94,Credit Card,Central,True
M00073,SaaS,Small,3966.93,1117,0.925,Net Banking,East,True
M00074,Gaming,Medium,1059.56,10633,0.935,Credit Card,North,False
M00075,E-commerce,Small,587.89,2858,0.945,Wallet,Central,False
M00076,Education,Small,7674.01,2216,0.92,Net Banking,West,True
M00077,Professional Services,Medium,7639.9,10956,0.945,Credit Card,South,True
M00078,SaaS,Medium,13086.07,5091,0.925,Net Banking,West,False
M00079,Food Delivery,Large,235.23,99246,0.935,Credit Card,Central,False
M00080,Media,Small,792.65,1838,0.94,Credit Card,East,True
M00081,Media,Small,429.34,579,0.96,UPI,West,False
M00082,Education,Large,6468.63,20276,0.93,Debit Card,South,False
M00083,Retail,Small,1573.45,2439,0.925,Debit Card,North,False
M00084,Food Delivery,Small,418.13,2987,0.915,Net Banking,East,False
M00085,Gaming,Medium,413.49,3420,0.945,Wallet,South,False
M00086,Food Delivery,Large,1129.52,24961,0.955,UPI,West,False
M00087,Media,Small,1881.15,995,0.95,Wallet,East,False
M00088,Food Delivery,Small,681.74,2572,0.955,UPI,Central,False
M00089,Education,Small,7725.51,2383,0.96,UPI,West,False
M00090,Healthcare,Medium,9276.56,10921,0.93,Debit Card,East,False
M00091,Professional Services,Small,17122.43,854,0.925,Net Banking,East,False
M00092,Healthcare,Medium,4410.9,3470,0.93,Debit Card,Central,False
M00093,SaaS,Small,7084.07,2941,0.925,Net Banking,East,True
M00094,SaaS,Small,11640.9,2501,0.965,UPI,South,True
M00095,E-commerce,Small,577.59,1705,0.935,Credit Card,West,False
M00096,Gaming,Small,1705.07,1908,0.955,UPI,Central,False
M00097,Professional Services,Small,7273.86,994,0.945,Credit Card,West,False
M00098,SaaS,Medium,11863.26,7530,0.945,Credit Card,South,True
M00099,Retail,Small,4246.83,1713,0.945,Wallet,East,False
M00100,E-commerce,Small,704.82,723,0.955,UPI,Central,False
