transaction_id,merchant_id,timestamp,amount,merchant_category,merchant_size,payment_method,status,failure_reason
T00000024,M00043,2025-05-28 08:46:51,7536.42,Professional Services,Small,Wallet,Success,
T00000025,M00062,2025-12-26 09:16:15,3214.31,Retail,Medium,Credit Card,Success,
T00000026,M00042,2025-11-24 07:56:57,6969.5,Healthcare,Small,Debit Card,Success,
T00000027,M00034,2025-01-22 17:22:46,1526.55,Gaming,Medium,Debit Card,Success,
T00000028,M00097,2025-04-14 23:31:33,7826.46,Professional Services,Small,Credit Card,Success,
T00000029,M00068,2025-12-21 15:02:43,2337.61,Retail,Medium,Debit Card,Success,
T00000030,M00013,2025-09-12 13:07:52,1905.09,E-commerce,Small,Debit Card,Success,
T00000031,M00083,2025-12-10 13:50:40,2022.96,Retail,Small,Debit Card,Success,
T00000032,M00017,2025-04-06 18:44:05,8891.5,Professional Services,Small,Credit Card,Success,
T00000033,M00035,2025-07-29 07:37:56,1850.44,Retail,Small,UPI,Success,
T00000034,M00020,2025-06-05 02:40:57,11848.25,Healthcare,Small,Net Banking,Success,
T00000035,M00050,2025-02-23 17:20:43,10425.6,SaaS,Small,Wallet,Success,
T00000036,M00061,2025-02-12 14:00:14,7982.32,SaaS,Medium,UPI,Success,
T00000037,M00049,2025-03-04 03:08:25,1564.01,Retail,Medium,Wallet,Success,
T00000038,M00018,2025-05-29 04:56:58,5624.98,Professional Services,Small,Net Banking,Success,
T00000039,M00045,2025-07-01 18:32:28,551.63,Media,Small,Wallet,Success,
T00000040,M00054,2025-01-05 11:00:39,837.71,Media,Small,Credit Card,Success,
T00000041,M00076,2025-02-14 11:41:58,6485.45,Education,Small,Net Banking,Success,
T00000042,M00097,2025-09-06 22:11:49,4811.41,Professional Services,Small,Credit Card,Success,
T00000043,M00078,2025-04-24 23:37:10,9126.58,SaaS,Medium,Net Banking,Failed,Technical Error
T00000044,M00010,2025-04-13 06:57:49,2216.85,Retail,Medium,UPI,Failed,Bank Decline
T00000045,M00058,2025-07-17 03:56:10,2129.38,Food Delivery,Small,UPI,Success,
T00000046,M00037,2025-09-06 03:26:27,4942.86,Education,Medium,UPI,Success,
T00000047,M00077,2025-03-19 05:59:09,9867.82,Professional Services,Medium,Credit Card,Success,
T00000048,M00009,2025-10-30 09:19:29,1147.55,Gaming,Small,Credit Card,Success,
T00000049,M00008,2025-12-23 16:58:47,17568.21,Travel,Small,Credit Card,Success,
T00000050,M00018,2025-12-27 19:49:36,8081.26,Professional Services,Small,Net Banking,Success,
T00000051,M00013,2025-11-19 23:41:04,2616.15,E-commerce,Small,Debit Card,Success,
T00000052,M00028,2025-08-09 08:08:59,1861.19,E-commerce,Small,UPI,Success,
T00000053,M00042,2025-02-03 06:20:52,9266.12,Healthcare,Small,Debit Card,Failed,Payment Timeout
T00000054,M00015,2025-10-25 10:05:39,1001.19,E-commerce,Medium,UPI,Success,
T00000055,M00072,2025-09-14 05:19:24,544.16,Media,Small,Credit Card,Success,
T00000056,M00043,2025-12-05 19:39:55,5592.67,Professional Services,Small,Wallet,Success,
T00000057,M00018,2025-03-24 06:06:08,11738.75,Professional Services,Small,Net Banking,Success,
T00000058,M00082,2025-10-04 21:09:57,5062.21,Education,Large,Debit Card,Success,
T00000059,M00029,2025-09-18 20:34:34,3325.08,Retail,Small,Debit Card,Success,
T00000060,M00035,2025-02-16 23:50:27,1413.44,Retail,Small,UPI,Success,
T00000061,M00069,2025-01-25 20:45:52,5221.27,Education,Small,Credit Card,Success,
T00000062,M00001,2025-03-27 12:34:29,511.08,Food Delivery,Small,UPI,Success,
T00000063,M00091,2025-10-02 21:33:20,14605.58,Professional Services,Small,Net Banking,Success,
T00000064,M00052,2025-11-30 20:22:57,20766.46,Travel,Medium,Credit Card,Success,
T00000065,M00080,2025-07-19 16:16:56,819.28,Media,Small,Credit Card,Success,
T00000066,M00007,2025-02-21 09:14:08,4272.57,Gaming,Small,Net Banking,Success,
T00000067,M00023,2025-12-09 16:24:22,5001.92,Healthcare,Small,Net Banking,Success,
T00000068,M00085,2025-11-10 14:25:03,352.91,Gaming,Medium,Wallet,Success,
T00000069,M00039,2025-02-06 15:10:48,2487.27,Gaming,Small,UPI,Success,
T00000070,M00097,2025-07-01 08:59:07,8599.67,Professional Services,Small,Credit Card,Success,
T00000071,M00021,2025-01-22 00:54:43,1612.02,E-commerce,Small,UPI,Success,
T00000072,M00077,2025-06-06 08:42:08,1790.75,Professional Services,Medium,Credit Card,Success,
T00000073,M00073,2025-11-07 22:03:46,4547.8,SaaS,Small,Net Banking,Success,
T00000074,M00042,2025-06-24 05:22:52,8172.4,Healthcare,Small,Debit Card,Success,
T00000075,M00075,2025-03-13 06:13:56,564.04,E-commerce,Small,Wallet,Success,
T00000076,M00058,2025-06-22 02:16:40,1717.31,Food Delivery,Small,UPI,Success,
T00000077,M00024,2025-11-29 10:11:22,743.69,Gaming,Small,Credit Card,Failed,Insufficient Funds
T00000078,M00083,2025-02-06 05:16:19,1526.15,Retail,Small,Debit Card,Failed,Bank Decline
T00000079,M00008,2025-03-06 14:07:54,9911.16,Travel,Small,Credit Card,Success,
T00000080,M00061,2025-12-17 11:22:37,9579.56,SaaS,Medium,UPI,Success,
T00000081,M00058,2025-05-28 04:17:07,1822.07,Food Delivery,Small,UPI,Success,
T00000082,M00090,2025-11-01 21:56:09,9314.06,Healthcare,Medium,Debit Card,Success,
T00000083,M00086,2025-06-14 06:42:55,948.81,Food Delivery,Large,UPI,Success,
T00000084,M00029,2025-09-15 01:05:15,2220.7,Retail,Small,Debit Card,Success,
T00000085,M00011,2025-03-02 02:48:39,7964.92,Education,Small,UPI,Success,
T00000086,M00065,2025-10-13 17:34:03,1806.12,E-commerce,Large,Debit Card,Success,
T00000087,M00022,2025-10-18 11:38:15,399.14,Food Delivery,Small,Wallet,Success,
T00000088,M00064,2025-12-24 01:18:32,8517.96,Professional Services,Large,Net Banking,Success,
T00000089,M00053,2025-03-03 03:22:45,5635.05,Education,Small,Net Banking,Success,
T00000090,M00086,2025-01-27 14:39:54,1270.67,Food Delivery,Large,UPI,Success,
T00000091,M00074,2025-09-20 05:26:13,1268.45,Gaming,Medium,Credit Card,Failed,Payment Timeout
T00000092,M00079,2025-04-06 14:53:36,180.46,Food Delivery,Large,Credit Card,Success,
T00000093,M00100,2025-01-16 10:25:08,543.55,E-commerce,Small,UPI,Success,
T00000094,M00027,2025-07-23 00:41:17,1253.75,E-commerce,Large,Credit Card,Success,
T00000095,M00052,2025-04-12 06:30:44,28015.85,Travel,Medium,Credit Card,Success,
T00000096,M00037,2025-06-03 16:59:29,10534.17,Education,Medium,UPI,Success,
T00000097,M00031,2025-09-08 16:30:12,1575.15,Media,Small,Net Banking,Success,
T00000098,M00011,2025-01-29 04:09:03,9230.72,Education,Small,UPI,Success,
T00000099,M00027,2025-08-30 05:37:25,3185.52,E-commerce,Large,Credit Card,Success,
T00000100,M00037,2025-03-24 18:44:31,7161.84,Education,Medium,UPI,Success,
T00000101,M00026,2025-02-21 10:35:04,2744.05,Retail,Medium,Credit Card,Success,
T00000102,M00083,2025-05-24 12:14:31,1177.0,Retail,Small,Debit Card,Success,
T00000103,M00004,2025-06-20 04:10:34,2579.03,Education,Medium,UPI,Success,
T00000104,M00067,2025-11-10 10:43:00,307.96,Food Delivery,Medium,Credit Card,Success,
T00000105,M00008,2025-01-04 00:54:59,11268.02,Travel,Small,Credit Card,Failed,Insufficient Funds
T00000106,M00068,2025-12-08 00:44:11,992.05,Retail,Medium,Debit Card,Success,
T00000107,M00088,2025-02-14 19:52:23,940.91,Food Delivery,Small,UPI,Success,
T00000108,M00026,2025-04-20 10:09:31,1199.77,Retail,Medium,Credit Card,Success,
T00000109,M00048,2025-10-06 16:37:49,567.43,Food Delivery,Medium,Credit Card,Success,
T00000110,M00089,2025-07-16 06:45:13,10675.38,Education,Small,UPI,Success,
T00000111,M00069,2025-12-18 14:20:51,7146.55,Education,Small,Credit Card,Success,
T00000112,M00080,2025-11-19 02:05:04,750.76,Media,Small,Credit Card,Success,
T00000113,M00069,2025-01-02 09:02:53,6083.62,Education,Small,Credit Card,Failed,Bank Decline
T00000114,M00061,2025-10-15 20:46:22,9151.32,SaaS,Medium,UPI,Success,
T00000115,M00002,2025-10-02 01:17:50,887.0,Retail,Small,UPI,Success,
T00000116,M00066,2025-12-09 23:08:53,1537.51,Education,Large,Net Banking,Success,
T00000117,M00057,2025-02-27 21:17:11,4476.39,Healthcare,Medium,Credit Card,Success,
T00000118,M00014,2025-02-27 12:20:02,3273.73,E-commerce,Large,Credit Card,Success,
T00000119,M00084,2025-01-17 05:52:23,321.99,Food Delivery,Small,Net Banking,Success,
T00000120,M00037,2025-12-01 06:19:46,11569.87,Education,Medium,UPI,Success,
T00000121,M00100,2025-05-19 23:01:25,744.59,E-commerce,Small,UPI,Success,
T00000122,M00007,2025-10-30 23:12:37,3608.29,Gaming,Small,Net Banking,Success,
T00000123,M00061,2025-12-06 16:54:48,5249.63,SaaS,Medium,UPI,Success,
T00000124,M00055,2025-12-28 03:07:09,16165.89,SaaS,Medium,Net Banking,Success,
T00000125,M00024,2025-03-05 02:37:34,1262.22,Gaming,Small,Credit Card,Success,
T00000126,M00073,2025-01-10 15:01:32,3643.49,SaaS,Small,Net Banking,Success,
T00000127,M00061,2025-12-26 00:50:46,5291.03,SaaS,Medium,UPI,Success,
T00000128,M00002,2025-12-02 13:39:37,1477.35,Retail,Small,UPI,Success,
T00000129,M00058,2025-04-07 09:05:10,1325.17,Food Delivery,Small,UPI,Success,
T00000130,M00030,2025-12-05 17:11:01,3937.19,E-commerce,Small,UPI,Success,
T00000131,M00056,2025-07-02 19:08:56,5395.04,E-commerce,Large,Credit Card,Success,
T00000132,M00002,2025-04-29 12:35:06,1423.23,Retail,Small,UPI,Success,
T00000133,M00018,2025-12-05 09:19:09,8147.93,Professional Services,Small,Net Banking,Success,
T00000134,M00089,2025-05-08 11:37:23,8227.72,Education,Small,UPI,Success,
T00000135,M00043,2025-01-27 23:02:53,6537.57,Professional Services,Small,Wallet,Success,
T00000136,M00059,2025-06-05 05:16:21,774.03,Retail,Medium,UPI,Success,
T00000137,M00088,2025-11-24 15:29:31,210.16,Food Delivery,Small,UPI,Success,
T00000138,M00030,2025-04-12 10:42:07,2168.28,E-commerce,Small,UPI,Success,
T00000139,M00062,2025-04-14 02:19:33,5921.0,Retail,Medium,Credit Card,Success,
T00000140,M00070,2025-11-02 10:02:30,1244.29,Food Delivery,Large,Debit Card,Success,
T00000141,M00044,2025-08-24 10:16:33,17448.99,Professional Services,Small,Net Banking,Success,
T00000142,M00006,2025-03-15 19:39:45,3279.92,Retail,Small,UPI,Success,
T00000143,M00030,2025-10-03 06:21:27,1718.22,E-commerce,Small,UPI,Success,
T00000144,M00088,2025-09-24 17:58:21,778.63,Food Delivery,Small,UPI,Success,
T00000145,M00067,2025-10-16 03:28:33,508.82,Food Delivery,Medium,Credit Card,Success,
T00000146,M00096,2025-09-15 23:08:38,1367.32,Gaming,Small,UPI,Success,
T00000147,M00067,2025-08-31 00:13:45,399.46,Food Delivery,Medium,Credit Card,Success,
T00000148,M00042,2025-04-27 15:12:23,15183.56,Healthcare,Small,Debit Card,Success,
T00000149,M00073,2025-09-16 23:53:32,2953.9,SaaS,Small,Net Banking,Success,
T00000150,M00075,2025-02-19 10:24:29,685.3,E-commerce,Small,Wallet,Success,
T00000151,M00010,2025-09-16 05:35:29,2781.98,Retail,Medium,UPI,Success,
T00000152,M00080,2025-08-28 01:00:53,661.75,Media,Small,Credit Card,Success,
T00000153,M00037,2025-06-07 16:53:41,7172.97,Education,Medium,UPI,Success,
T00000154,M00027,2025-06-16 22:50:52,1589.45,E-commerce,Large,Credit Card,Success,
T00000155,M00033,2025-08-24 14:29:44,3266.52,E-commerce,Small,UPI,Success,
T00000156,M00051,2025-03-24 23:50:29,2757.28,Retail,Medium,UPI,Success,
T00000157,M00081,2025-11-05 06:09:00,616.14,Media,Small,UPI,Success,
T00000158,M00097,2025-02-02 22:21:06,5010.18,Professional Services,Small,Credit Card,Success,
T00000159,M00045,2025-09-15 19:33:58,2101.81,Media,Small,Wallet,Success,
T00000160,M00067,2025-10-19 17:06:53,413.22,Food Delivery,Medium,Credit Card,Success,
T00000161,M00078,2025-05-01 13:19:08,13501.17,SaaS,Medium,Net Banking,Success,
T00000162,M00091,2025-04-06 02:05:52,20502.28,Professional Services,Small,Net Banking,Failed,Payment Timeout
T00000163,M00095,2025-11-27 00:07:45,599.73,E-commerce,Small,Credit Card,Success,
T00000164,M00093,2025-08-12 13:38:30,4756.84,SaaS,Small,Net Banking,Success,
T00000165,M00050,2025-09-28 10:29:31,9282.71,SaaS,Small,Wallet,Success,
T00000166,M00086,2025-09-25 01:06:19,1357.54,Food Delivery,Large,UPI,Success,
T00000167,M00061,2025-10-19 15:29:46,11258.85,SaaS,Medium,UPI,Success,
T00000168,M00052,2025-03-26 23:44:50,12833.28,Travel,Medium,Credit Card,Success,
T00000169,M00081,2025-09-28 06:22:04,388.26,Media,Small,UPI,Success,
T00000170,M00098,2025-11-26 11:04:04,11734.63,SaaS,Medium,Credit Card,Success,
T00000171,M00054,2025-02-21 18:48:37,1118.63,Media,Small,Credit Card,Failed,Payment Timeout
T00000172,M00080,2025-05-04 05:25:52,457.98,Media,Small,Credit Card,Failed,Authentication Failure
T00000173,M00099,2025-08-26 22:20:00,5314.5,Retail,Small,Wallet,Success,
T00000174,M00067,2025-12-19 04:29:55,216.75,Food Delivery,Medium,Credit Card,Success,
T00000175,M00073,2025-12-15 10:35:08,5245.43,SaaS,Small,Net Banking,Success,
T00000176,M00027,2025-10-19 23:04:03,2393.35,E-commerce,Large,Credit Card,Success,
T00000177,M00091,2025-09-05 15:26:07,15601.32,Professional Services,Small,Net Banking,Success,
T00000178,M00064,2025-04-03 21:55:59,11835.14,Professional Services,Large,Net Banking,Success,
T00000179,M00015,2025-01-31 02:11:49,2106.88,E-commerce,Medium,UPI,Success,
T00000180,M00035,2025-12-13 19:36:48,1503.01,Retail,Small,UPI,Success,
T00000181,M00047,2025-02-23 17:44:23,1965.76,Healthcare,Medium,UPI,Success,
T00000182,M00002,2025-03-25 02:11:07,1142.3,Retail,Small,UPI,Success,
T00000183,M00090,2025-06-08 07:06:05,7759.85,Healthcare,Medium,Debit Card,Success,
T00000184,M00024,2025-11-20 11:06:30,1059.32,Gaming,Small,Credit Card,Success,
T00000185,M00097,2025-12-18 09:42:21,7928.07,Professional Services,Small,Credit Card,Success,
T00000186,M00086,2025-12-09 00:18:54,316.97,Food Delivery,Large,UPI,Success,
T00000187,M00059,2025-05-28 17:24:29,236.29,Retail,Medium,UPI,Success,
T00000188,M00080,2025-06-01 10:56:20,874.63,Media,Small,Credit Card,Success,
T00000189,M00041,2025-11-21 13:33:20,2519.4,E-commerce,Small,Wallet,Success,
T00000190,M00020,2025-08-23 06:43:17,10542.34,Healthcare,Small,Net Banking,Success,
T00000191,M00081,2025-07-09 14:37:42,455.66,Media,Small,UPI,Success,
T00000192,M00084,2025-05-11 12:57:15,549.88,Food Delivery,Small,Net Banking,Success,
T00000193,M00023,2025-11-06 23:13:32,6137.62,Healthcare,Small,Net Banking,Success,
T00000194,M00002,2025-02-19 13:34:38,1015.56,Retail,Small,UPI,Failed,Payment Timeout
T00000195,M00094,2025-01-11 11:20:43,15539.51,SaaS,Small,UPI,Success,
T00000196,M00080,2025-02-02 14:26:49,616.91,Media,Small,Credit Card,Success,
T00000197,M00037,2025-02-22 16:48:39,8152.65,Education,Medium,UPI,Success,
T00000198,M00068,2025-05-08 03:08:52,1275.36,Retail,Medium,Debit Card,Success,
T00000199,M00092,2025-05-07 22:25:25,2988.12,Healthcare,Medium,Debit Card,Success,
T00000200,M00063,2025-11-20 02:05:46,7600.46,Healthcare,Small,Credit Card,Success,
T00000201,M00012,2025-11-21 05:56:01,11267.81,SaaS,Medium,Net Banking,Success,
T00000202,M00075,2025-05-16 21:52:00,605.07,E-commerce,Small,Wallet,Success,
T00000203,M00061,2025-01-27 15:34:10,8728.92,SaaS,Medium,UPI,Success,
T00000204,M00075,2025-04-07 00:50:50,336.64,E-commerce,Small,Wallet,Success,
T00000205,M00071,2025-01-08 21:57:19,2213.8,Retail,Small,Debit Card,Success,
T00000206,M00037,2025-02-14 10:11:12,6125.77,Education,Medium,UPI,Success,
T00000207,M00034,2025-03-26 15:34:36,1170.85,Gaming,Medium,Debit Card,Success,
T00000208,M00096,2025-08-24 07:19:45,1790.85,Gaming,Small,UPI,Success,
T00000209,M00007,2025-10-18 11:10:20,2653.23,Gaming,Small,Net Banking,Success,
T00000210,M00096,2025-05-01 19:05:34,835.34,Gaming,Small,UPI,Success,
T00000211,M00080,2025-01-10 23:20:24,1073.5,Media,Small,Credit Card,Success,
T00000212,M00034,2025-05-26 18:06:51,1254.78,Gaming,Medium,Debit Card,Success,
T00000213,M00064,2025-10-05 16:25:12,8827.09,Professional Services,Large,Net Banking,Success,
T00000214,M00051,2025-04-05 07:31:13,5267.01,Retail,Medium,UPI,Success,
T00000215,M00100,2025-10-28 00:02:37,602.57,E-commerce,Small,UPI,Success,
T00000216,M00043,2025-11-06 05:22:31,7564.21,Professional Services,Small,Wallet,Failed,Insufficient Funds
T00000217,M00013,2025-05-15 20:10:25,1378.43,E-commerce,Small,Debit Card,Success,
T00000218,M00074,2025-09-09 11:32:26,963.97,Gaming,Medium,Credit Card,Success,
T00000219,M00011,2025-11-26 22:37:07,5135.71,Education,Small,UPI,Success,
T00000220,M00054,2025-05-21 15:50:13,1144.41,Media,Small,Credit Card,Success,
T00000221,M00100,2025-11-18 20:06:43,586.85,E-commerce,Small,UPI,Success,
T00000222,M00081,2025-07-22 15:01:55,447.92,Media,Small,UPI,Failed,Network Error
T00000223,M00100,2025-08-28 04:43:09,798.8,E-commerce,Small,UPI,Success,
T00000224,M00091,2025-06-19 03:50:54,11159.48,Professional Services,Small,Net Banking,Success,
T00000225,M00040,2025-08-19 02:15:49,11721.15,Professional Services,Small,Net Banking,Success,
T00000226,M00099,2025-02-03 15:45:24,6719.42,Retail,Small,Wallet,Success,
T00000227,M00098,2025-06-25 01:46:45,12016.64,SaaS,Medium,Credit Card,Success,
T00000228,M00053,2025-05-28 04:26:10,5637.15,Education,Small,Net Banking,Success,
T00000229,M00013,2025-07-11 23:16:13,2701.43,E-commerce,Small,Debit Card,Success,
T00000230,M00037,2025-11-06 20:20:11,6124.82,Education,Medium,UPI,Success,
T00000231,M00045,2025-04-19 14:36:21,3444.0,Media,Small,Wallet,Success,
T00000232,M00051,2025-01-04 22:36:54,2599.56,Retail,Medium,UPI,Success,
T00000233,M00014,2025-03-16 04:46:29,5504.81,E-commerce,Large,Credit Card,Success,
T00000234,M00096,2025-10-22 10:36:24,2123.29,Gaming,Small,UPI,Success,
T00000235,M00015,2025-07-04 21:30:33,1747.08,E-commerce,Medium,UPI,Success,
T00000236,M00059,2025-02-06 03:19:12,589.47,Retail,Medium,UPI,Success,
T00000237,M00018,2025-06-07 01:17:30,7332.82,Professional Services,Small,Net Banking,Success,
T00000238,M00017,2025-07-03 19:06:26,8146.87,Professional Services,Small,Credit Card,Success,
T00000239,M00025,2025-05-14 12:03:04,623.72,Food Delivery,Small,UPI,Success,
T00000240,M00029,2025-09-30 23:04:58,5021.91,Retail,Small,Debit Card,Success,
T00000241,M00012,2025-04-30 01:56:00,10699.84,SaaS,Medium,Net Banking,Success,
T00000242,M00082,2025-02-16 10:19:51,7452.68,Education,Large,Debit Card,Success,
T00000243,M00055,2025-10-24 00:07:19,12181.23,SaaS,Medium,Net Banking,Success,
T00000244,M00044,2025-04-18 09:09:47,12433.58,Professional Services,Small,Net Banking,Success,
T00000245,M00068,2025-10-23 05:39:04,1125.79,Retail,Medium,Debit Card,Success,
T00000246,M00072,2025-03-17 09:18:25,837.07,Media,Small,Credit Card,Success,
T00000247,M00099,2025-05-21 03:39:19,4339.09,Retail,Small,Wallet,Success,
T00000248,M00067,2025-04-17 12:46:00,540.84,Food Delivery,Medium,Credit Card,Success,
T00000249,M00020,2025-01-22 04:13:09,4768.22,Healthcare,Small,Net Banking,Success,
T00000250,M00054,2025-12-04 06:38:42,830.51,Media,Small,Credit Card,Success,
T00000251,M00094,2025-02-09 20:11:10,14820.62,SaaS,Small,UPI,Success,
T00000252,M00072,2025-06-21 01:28:00,625.37,Media,Small,Credit Card,Success,
T00000253,M00062,2025-01-20 22:51:56,4212.25,Retail,Medium,Credit Card,Success,
T00000254,M00002,2025-01-26 09:02:41,1471.56,Retail,Small,UPI,Success,
T00000255,M00003,2025-01-29 18:29:45,2468.27,Education,Small,Credit Card,Success,
T00000256,M00066,2025-11-12 00:23:31,1188.84,Education,Large,Net Banking,Success,
T00000257,M00098,2025-04-28 23:57:08,14175.6,SaaS,Medium,Credit Card,Success,
T00000258,M00060,2025-06-11 15:01:22,658.66,Food Delivery,Medium,Debit Card,Success,
T00000259,M00083,2025-11-04 02:14:19,972.98,Retail,Small,Debit Card,Success,
T00000260,M00009,2025-12-19 19:52:28,525.41,Gaming,Small,Credit Card,Success,
T00000261,M00048,2025-12-01 01:20:03,554.13,Food Delivery,Medium,Credit Card,Success,
T00000262,M00059,2025-01-24 09:23:13,678.27,Retail,Medium,UPI,Success,
T00000263,M00019,2025-10-15 10:07:56,6572.34,E-commerce,Medium,Wallet,Success,
T00000264,M00020,2025-04-13 18:40:50,11006.04,Healthcare,Small,Net Banking,Success,
T00000265,M00089,2025-03-02 23:52:41,7912.41,Education,Small,UPI,Success,
T00000266,M00095,2025-06-08 15:39:35,796.73,E-commerce,Small,Credit Card,Success,
T00000267,M00069,2025-08-19 14:43:17,6108.16,Education,Small,Credit Card,Success,
T00000268,M00051,2025-04-20 19:07:34,3869.94,Retail,Medium,UPI,Success,
T00000269,M00071,2025-06-26 07:52:43,3155.93,Retail,Small,Debit Card,Success,
T00000270,M00020,2025-11-04 06:57:48,9287.67,Healthcare,Small,Net Banking,Success,
T00000271,M00063,2025-09-14 18:40:21,5308.99,Healthcare,Small,Credit Card,Success,
T00000272,M00081,2025-03-29 07:22:33,348.68,Media,Small,UPI,Success,
T00000273,M00063,2025-12-19 19:00:30,4898.29,Healthcare,Small,Credit Card,Success,
T00000274,M00033,2025-11-04 19:50:01,4694.53,E-commerce,Small,UPI,Success,
T00000275,M00067,2025-10-18 20:47:30,674.47,Food Delivery,Medium,Credit Card,Success,
T00000276,M00100,2025-07-02 00:34:54,279.1,E-commerce,Small,UPI,Success,
T00000277,M00082,2025-09-29 17:59:26,5202.82,Education,Large,Debit Card,Success,
T00000278,M00014,2025-06-20 00:12:30,4437.46,E-commerce,Large,Credit Card,Success,
T00000279,M00081,2025-01-16 11:31:45,590.49,Media,Small,UPI,Success,
T00000280,M00040,2025-01-11 01:04:41,8638.62,Professional Services,Small,Net Banking,Success,
T00000281,M00016,2025-09-19 20:54:58,1220.47,Retail,Medium,Debit Card,Failed,Technical Error
T00000282,M00054,2025-11-16 00:12:03,650.11,Media,Small,Credit Card,Success,
T00000283,M00024,2025-01-16 14:59:10,831.48,Gaming,Small,Credit Card,Success,
T00000284,M00099,2025-06-21 17:52:36,3458.77,Retail,Small,Wallet,Success,
T00000285,M00060,2025-03-12 11:36:05,779.92,Food Delivery,Medium,Debit Card,Success,
T00000286,M00082,2025-02-05 10:26:27,6428.78,Education,Large,Debit Card,Success,
T00000287,M00085,2025-06-08 14:04:48,321.14,Gaming,Medium,Wallet,Success,
T00000288,M00017,2025-05-09 01:59:34,14859.1,Professional Services,Small,Credit Card,Success,
T00000289,M00073,2025-07-12 10:06:21,3284.83,SaaS,Small,Net Banking,Success,
T00000290,M00069,2025-08-02 15:16:19,11251.69,Education,Small,Credit Card,Success,
T00000291,M00088,2025-02-04 04:46:36,610.46,Food Delivery,Small,UPI,Failed,Authentication Failure
T00000292,M00013,2025-12-02 21:33:03,3019.48,E-commerce,Small,Debit Card,Success,
T00000293,M00090,2025-01-01 10:43:43,7368.46,Healthcare,Medium,Debit Card,Success,
T00000294,M00085,2025-03-14 20:23:45,283.73,Gaming,Medium,Wallet,Success,
T00000295,M00033,2025-08-30 19:22:05,4096.86,E-commerce,Small,UPI,Success,
T00000296,M00004,2025-03-21 01:18:01,1211.11,Education,Medium,UPI,Success,
T00000297,M00043,2025-02-20 21:07:54,6811.99,Professional Services,Small,Wallet,Success,
T00000298,M00090,2025-02-17 03:46:23,7964.85,Healthcare,Medium,Debit Card,Success,
T00000299,M00086,2025-09-02 16:13:59,935.28,Food Delivery,Large,UPI,Success,
T00000300,M00073,2025-08-02 22:11:30,3410.69,SaaS,Small,Net Banking,Success,
T00000301,M00066,2025-06-08 10:44:55,2686.72,Education,Large,Net Banking,Success,
T00000302,M00090,2025-06-29 05:00:21,14072.87,Healthcare,Medium,Debit Card,Failed,Technical Error
T00000303,M00071,2025-11-20 04:08:11,3678.35,Retail,Small,Debit Card,Success,
T00000304,M00049,2025-10-01 22:54:46,2274.7,Retail,Medium,Wallet,Success,
T00000305,M00007,2025-11-21 04:11:27,1960.24,Gaming,Small,Net Banking,Success,
T00000306,M00007,2025-02-26 04:09:39,3067.2,Gaming,Small,Net Banking,Success,
T00000307,M00076,2025-12-25 00:26:02,4580.48,Education,Small,Net Banking,Success,
T00000308,M00087,2025-01-28 02:40:37,1334.71,Media,Small,Wallet,Success,
T00000309,M00023,2025-11-03 19:23:28,8411.11,Healthcare,Small,Net Banking,Success,
T00000310,M00016,2025-04-14 18:13:46,795.46,Retail,Medium,Debit Card,Success,
T00000311,M00068,2025-04-20 20:15:01,1357.5,Retail,Medium,Debit Card,Success,
