merchant_id,merchant_category,merchant_size,geography,total_transactions,failed_transactions,failure_rate,failed_transaction_value,dominant_failure_reason,incident_severity,actual_incident,required_action,revenue_at_risk,incident_reason
M00053,Education,Small,South,94,8,0.0851,30451.52,Insufficient Funds,High,1,INVESTIGATE,30451.52,Material payment failure pattern detected.
M00054,Media,Small,South,95,8,0.0842,7917.14,Payment Timeout,High,1,INVESTIGATE,7917.14,Material payment failure pattern detected.
M00055,SaaS,Medium,West,100,9,0.09,105836.31,Insufficient Funds,High,1,INVESTIGATE,105836.31,Material payment failure pattern detected.
M00056,E-commerce,Large,South,104,7,0.0673,34486.46,Technical Error,Medium,0,MONITOR,34486.46,No material payment incident detected.
M00057,Healthcare,Medium,East,100,7,0.07,71597.68,Network Error,Medium,0,MONITOR,71597.68,No material payment incident detected.
M00058,Food Delivery,Small,West,87,2,0.023,2951.11,Network Error,Low,0,NO_ACTION,2951.11,No material payment incident detected.
M00059,Retail,Medium,South,91,4,0.044,2716.59,Payment Timeout,Low,0,NO_ACTION,2716.59,No material payment incident detected.
M00060,Food Delivery,Medium,North,101,5,0.0495,2770.88,Bank Decline,Low,0,NO_ACTION,2770.88,No material payment incident detected.
M00061,SaaS,Medium,Central,93,2,0.0215,13058.45,Technical Error,Low,0,NO_ACTION,13058.45,No material payment incident detected.
M00062,Retail,Medium,East,106,3,0.0283,17485.25,Technical Error,Low,0,NO_ACTION,17485.25,No material payment incident detected.
M00063,Healthcare,Small,East,93,4,0.043,20827.29,Technical Error,Low,0,NO_ACTION,20827.29,No material payment incident detected.
M00064,Professional Services,Large,South,106,11,0.1038,70475.74,Technical Error,Critical,1,ESCALATE,70475.74,Material payment failure pattern detected.
M00065,E-commerce,Large,South,112,7,0.0625,9724.49,Payment Timeout,Medium,0,MONITOR,9724.49,No material payment incident detected.
M00066,Education,Large,Central,89,3,0.0337,4138.1,Authentication Failure,Low,0,NO_ACTION,4138.1,No material payment incident detected.
M00067,Food Delivery,Medium,West,120,6,0.05,2925.22,Authentication Failure,Medium,0,MONITOR,2925.22,No material payment incident detected.
M00068,Retail,Medium,North,121,14,0.1157,22012.75,Payment Timeout,Critical,1,ESCALATE,22012.75,Material payment failure pattern detected.
M00069,Education,Small,North,84,7,0.0833,36788.32,Bank Decline,High,1,INVESTIGATE,36788.32,Material payment failure pattern detected.
M00070,Food Delivery,Large,West,93,5,0.0538,5336.23,Network Error,Medium,0,MONITOR,5336.23,No material payment incident detected.
M00071,Retail,Small,South,106,7,0.066,21310.16,Network Error,Medium,0,MONITOR,21310.16,No material payment incident detected.
M00072,Media,Small,Central,105,5,0.0476,4745.11,Bank Decline,Low,0,NO_ACTION,4745.11,No material payment incident detected.
M00073,SaaS,Small,East,111,5,0.045,16247.47,Network Error,Low,0,NO_ACTION,16247.47,No material payment incident detected.
M00074,Gaming,Medium,North,105,5,0.0476,5334.58,Technical Error,Low,0,NO_ACTION,5334.58,No material payment incident detected.
M00075,E-commerce,Small,Central,89,2,0.0225,1063.06,Network Error,Low,0,NO_ACTION,1063.06,No material payment incident detected.
M00076,Education,Small,West,111,13,0.1171,89008.13,Payment Timeout,Critical,1,ESCALATE,89008.13,Material payment failure pattern detected.
M00077,Professional Services,Medium,South,112,6,0.0536,46801.62,Payment Timeout,Medium,0,MONITOR,46801.62,No material payment incident detected.
M00078,SaaS,Medium,West,103,9,0.0874,111306.58,Insufficient Funds,High,1,INVESTIGATE,111306.58,Material payment failure pattern detected.
M00079,Food Delivery,Large,Central,94,5,0.0532,1153.34,Network Error,Medium,0,MONITOR,1153.34,No material payment incident detected.
M00080,Media,Small,East,102,6,0.0588,3460.18,Authentication Failure,Medium,0,MONITOR,3460.18,No material payment incident detected.
M00081,Media,Small,West,106,1,0.0094,447.92,Network Error,Low,0,NO_ACTION,447.92,No material payment incident detected.
M00082,Education,Large,South,109,4,0.0367,26734.69,Payment Timeout,Low,0,NO_ACTION,26734.69,No material payment incident detected.
M00083,Retail,Small,North,108,12,0.1111,20043.67,Technical Error,Critical,1,ESCALATE,20043.67,Material payment failure pattern detected.
M00084,Food Delivery,Small,East,90,9,0.1,3186.34,Technical Error,Critical,1,ESCALATE,3186.34,Material payment failure pattern detected.
M00085,Gaming,Medium,South,96,4,0.0417,1251.13,Payment Timeout,Low,0,NO_ACTION,1251.13,No material payment incident detected.
M00086,Food Delivery,Large,West,96,9,0.0938,11179.37,Bank Decline,High,1,INVESTIGATE,11179.37,Material payment failure pattern detected.
M00087,Media,Small,East,86,6,0.0698,11319.95,Payment Timeout,Medium,0,MONITOR,11319.95,No material payment incident detected.
M00088,Food Delivery,Small,Central,87,8,0.092,5502.28,Authentication Failure,High,1,INVESTIGATE,5502.28,Material payment failure pattern detected.
M00089,Education,Small,West,109,6,0.055,35696.94,Technical Error,Medium,0,MONITOR,35696.94,No material payment incident detected.
M00090,Healthcare,Medium,East,91,8,0.0879,80261.01,Authentication Failure,High,1,INVESTIGATE,80261.01,Material payment failure pattern detected.
M00091,Professional Services,Small,East,98,5,0.051,88428.9,Bank Decline,Medium,0,MONITOR,88428.9,No material payment incident detected.
M00092,Healthcare,Medium,Central,116,8,0.069,40795.72,Authentication Failure,Medium,0,MONITOR,40795.72,No material payment incident detected.
M00093,SaaS,Small,East,116,10,0.0862,71389.44,Network Error,High,1,INVESTIGATE,71389.44,Material payment failure pattern detected.
M00094,SaaS,Small,South,109,1,0.0092,14761.37,Payment Timeout,Low,0,NO_ACTION,14761.37,No material payment incident detected.
M00095,E-commerce,Small,West,94,6,0.0638,3371.28,Payment Timeout,Medium,0,MONITOR,3371.28,No material payment incident detected.
M00096,Gaming,Small,Central,100,5,0.05,8557.09,Network Error,Medium,0,MONITOR,8557.09,No material payment incident detected.
M00097,Professional Services,Small,West,98,8,0.0816,59287.72,Payment Timeout,High,1,INVESTIGATE,59287.72,Material payment failure pattern detected.
M00098,SaaS,Medium,South,119,4,0.0336,54756.15,Insufficient Funds,Low,0,NO_ACTION,54756.15,No material payment incident detected.
M00099,Retail,Small,East,95,6,0.0632,21262.17,Authentication Failure,Medium,0,MONITOR,21262.17,No material payment incident detected.
M00100,E-commerce,Small,Central,89,4,0.0449,2638.81,Authentication Failure,Low,0,NO_ACTION,2638.81,No material payment incident detected.
