merchant_id,transaction_count,total_transaction_value,average_transaction_value,failed_transactions,failure_rate,success_rate,merchant_category,merchant_size,avg_transaction_value,monthly_transaction_volume,baseline_success_rate,primary_payment_method,geography,subscription_enabled
M00015,92,195142.37,2121.112717391304,5,0.05434782608695652,0.9456521739130435,E-commerce,Medium,2217.29,10668,0.955,UPI,Central,False
M00016,107,107349.67,1003.2679439252337,9,0.08411214953271028,0.9158878504672897,Retail,Medium,1015.48,11797,0.925,Debit Card,North,False
M00017,96,1018404.53,10608.380520833334,5,0.052083333333333336,0.9479166666666666,Professional Services,Small,10713.3,1578,0.945,Credit Card,East,False
M00018,92,747861.91,8128.9338043478265,4,0.043478260869565216,0.9565217391304348,Professional Services,Small,8073.56,2579,0.925,Net Banking,North,False
M00019,85,413533.53,4865.100352941176,5,0.058823529411764705,0.9411764705882353,E-commerce,Medium,4650.95,3009,0.945,Wallet,Central,False
M00020,108,921179.29,8529.437870370371,7,0.06481481481481481,0.9351851851851852,Healthcare,Small,8484.99,1759,0.92,Net Banking,East,False
M00021,103,266470.06,2587.0879611650485,4,0.038834951456310676,0.9611650485436893,E-commerce,Small,2686.96,783,0.955,UPI,North,False
M00022,97,39022.2,402.2907216494845,4,0.041237113402061855,0.9587628865979382,Food Delivery,Small,414.67,2661,0.945,Wallet,West,False
M00023,90,648267.28,7202.969777777778,6,0.06666666666666667,0.9333333333333333,Healthcare,Small,7208.81,1776,0.92,Net Banking,Central,False
M00024,98,81658.69,833.2519387755102,6,0.061224489795918366,0.9387755102040817,Gaming,Small,818.93,762,0.935,Credit Card,Central,False
M00025,75,83829.2,1117.7226666666666,2,0.02666666666666667,0.9733333333333334,Food Delivery,Small,1120.19,741,0.955,UPI,South,False
M00026,92,155654.31,1691.8946739130436,6,0.06521739130434782,0.9347826086956522,Retail,Medium,1753.15,10953,0.935,Credit Card,North,False
M00027,99,169305.85,1710.160101010101,6,0.06060606060606061,0.9393939393939394,E-commerce,Large,1593.49,76993,0.935,Credit Card,Central,False
M00028,102,245692.65,2408.7514705882354,6,0.058823529411764705,0.9411764705882353,E-commerce,Small,2349.96,721,0.955,UPI,West,False
M00029,104,412672.31,3968.002980769231,7,0.0673076923076923,0.9326923076923077,Retail,Small,4102.67,947,0.925,Debit Card,West,False
M00030,108,272316.5,2521.449074074074,4,0.037037037037037035,0.962962962962963,E-commerce,Small,2581.83,808,0.955,UPI,West,False
M00031,89,153015.68,1719.2773033707865,7,0.07865168539325842,0.9213483146067416,Media,Small,1713.65,560,0.92,Net Banking,North,False
M00032,102,264409.9,2592.253921568628,5,0.049019607843137254,0.9509803921568627,Retail,Medium,2666.11,9570,0.935,Credit Card,South,False
M00033,104,407084.93,3914.278173076923,2,0.019230769230769232,0.9807692307692307,E-commerce,Small,4028.32,2363,0.955,UPI,West,False
M00034,95,142114.4,1495.941052631579,4,0.042105263157894736,0.9578947368421052,Gaming,Medium,1511.35,6111,0.925,Debit Card,Central,True
M00035,118,221809.96,1879.7454237288134,8,0.06779661016949153,0.9322033898305084,Retail,Small,1911.22,705,0.955,UPI,Central,False
M00036,99,81783.84,826.0993939393938,5,0.050505050505050504,0.9494949494949495,Food Delivery,Medium,860.18,6044,0.955,UPI,South,True
M00037,98,732962.88,7479.21306122449,3,0.030612244897959183,0.9693877551020408,Education,Medium,7232.01,7033,0.96,UPI,West,True
M00038,108,339303.4,3141.6981481481484,6,0.05555555555555555,0.9444444444444444,Education,Small,3214.59,1568,0.93,Debit Card,Central,True
M00039,103,202971.68,1970.5988349514562,4,0.038834951456310676,0.9611650485436893,Gaming,Small,1971.95,2372,0.955,UPI,West,False
M00040,85,1082592.83,12736.386235294118,1,0.011764705882352941,0.9882352941176471,Professional Services,Small,12570.89,909,0.925,Net Banking,West,True
M00041,102,455277.44,4463.504313725491,2,0.0196078431372549,0.9803921568627451,E-commerce,Small,4456.72,2013,0.945,Wallet,East,False
M00042,91,908289.71,9981.205604395604,9,0.0989010989010989,0.9010989010989011,Healthcare,Small,9885.1,2666,0.93,Debit Card,East,True
M00043,100,540997.81,5409.9781,7,0.07,0.9299999999999999,Professional Services,Small,5282.95,972,0.955,Wallet,North,False
M00044,92,1430163.31,15545.253369565218,7,0.07608695652173914,0.9239130434782609,Professional Services,Small,15199.41,1333,0.925,Net Banking,East,False
M00045,92,235756.69,2562.572717391304,6,0.06521739130434782,0.9347826086956522,Media,Small,2569.09,878,0.95,Wallet,East,False
M00046,111,1490402.0,13427.045045045044,8,0.07207207207207207,0.9279279279279279,Professional Services,Small,13830.93,1572,0.925,Net Banking,East,True
M00047,98,166985.52,1703.9338775510203,3,0.030612244897959183,0.9693877551020408,Healthcare,Medium,1677.19,14321,0.96,UPI,Central,False
M00048,98,74267.58,757.8324489795918,7,0.07142857142857142,0.9285714285714286,Food Delivery,Medium,758.72,3685,0.935,Credit Card,Central,False
M00049,104,151298.01,1454.7885576923077,5,0.04807692307692308,0.9519230769230769,Retail,Medium,1445.34,7088,0.945,Wallet,North,False
M00050,104,1180670.7,11352.602884615384,4,0.038461538461538464,0.9615384615384616,SaaS,Small,11993.73,1469,0.955,Wallet,West,False
M00051,89,332363.92,3734.4260674157304,9,0.10112359550561797,0.898876404494382,Retail,Medium,3814.54,8442,0.955,UPI,West,False
M00052,93,2339609.97,25157.096451612906,7,0.07526881720430108,0.9247311827956989,Travel,Medium,24684.36,4771,0.93,Credit Card,South,False
M00053,94,401141.29,4267.460531914893,8,0.0851063829787234,0.9148936170212766,Education,Small,4222.12,1750,0.92,Net Banking,South,False
M00054,95,91359.11,961.6748421052631,8,0.08421052631578947,0.9157894736842105,Media,Small,980.09,784,0.94,Credit Card,South,False
M00055,100,1315456.54,13154.5654,9,0.09,0.91,SaaS,Medium,13123.93,8425,0.925,Net Banking,West,False
M00056,104,528713.66,5083.785192307692,7,0.0673076923076923,0.9326923076923077,E-commerce,Large,4925.98,20014,0.935,Credit Card,South,False
M00057,100,918908.98,9189.0898,7,0.07,0.9299999999999999,Healthcare,Medium,9858.12,4894,0.94,Credit Card,East,False
M00058,87,124606.81,1432.262183908046,2,0.022988505747126436,0.9770114942528736,Food Delivery,Small,1403.25,2705,0.955,UPI,West,False
M00059,91,72845.93,800.5047252747252,4,0.04395604395604396,0.9560439560439561,Retail,Medium,814.88,13882,0.955,UPI,South,False
M00060,101,57447.659999999996,568.7887128712871,5,0.04950495049504951,0.9504950495049505,Food Delivery,Medium,590.42,8067,0.925,Debit Card,North,False
M00061,93,737671.03,7931.946559139786,2,0.021505376344086023,0.978494623655914,SaaS,Medium,8045.36,9211,0.965,UPI,Central,True
M00062,106,479007.78,4518.941320754717,3,0.02830188679245283,0.9716981132075472,Retail,Medium,4251.76,7978,0.935,Credit Card,East,False
M00063,93,483947.68,5203.738494623656,4,0.043010752688172046,0.956989247311828,Healthcare,Small,4979.44,1375,0.94,Credit Card,East,False
M00064,106,736793.83,6950.8851886792445,11,0.10377358490566038,0.8962264150943396,Professional Services,Large,7824.37,97960,0.925,Net Banking,South,False
M00065,112,165025.42,1473.44125,7,0.0625,0.9375,E-commerce,Large,1510.88,41100,0.925,Debit Card,South,False
M00066,89,126560.81,1422.031573033708,3,0.033707865168539325,0.9662921348314607,Education,Large,1509.8,69321,0.92,Net Banking,Central,False
M00067,120,58644.51,488.70425,6,0.05,0.95,Food Delivery,Medium,517.18,13748,0.935,Credit Card,West,False
M00068,121,183418.7,1515.8570247933885,14,0.11570247933884298,0.884297520661157,Retail,Medium,1484.79,14401,0.925,Debit Card,North,False
M00069,84,548312.62,6527.53119047619,7,0.08333333333333333,0.9166666666666666,Education,Small,6609.92,2675,0.94,Credit Card,North,False
M00070,93,105325.09,1132.5278494623656,5,0.053763440860215055,0.946236559139785,Food Delivery,Large,1135.06,81162,0.925,Debit Card,West,False
M00071,106,274106.04,2585.9060377358487,7,0.0660377358490566,0.9339622641509434,Retail,Small,2636.03,1561,0.925,Debit Card,South,False
M00072,105,92503.23,880.9831428571429,5,0.047619047619047616,0.9523809523809523,Media,Small,869.89,2301,0.94,Credit Card,Central,True
M00073,111,448652.23,4041.9119819819816,5,0.04504504504504504,0.954954954954955,SaaS,Small,3966.93,1117,0.925,Net Banking,East,True
M00074,105,109007.11,1038.1629523809524,5,0.047619047619047616,0.9523809523809523,Gaming,Medium,1059.56,10633,0.935,Credit Card,North,False
M00075,89,50538.58,567.8492134831461,2,0.02247191011235955,0.9775280898876404,E-commerce,Small,587.89,2858,0.945,Wallet,Central,False
M00076,111,862331.0,7768.747747747748,13,0.11711711711711711,0.8828828828828829,Education,Small,7674.01,2216,0.92,Net Banking,West,True
M00077,112,849071.08,7580.9917857142855,6,0.05357142857142857,0.9464285714285714,Professional Services,Medium,7639.9,10956,0.945,Credit Card,South,True
M00078,103,1274968.33,12378.333300970875,9,0.08737864077669903,0.912621359223301,SaaS,Medium,13086.07,5091,0.925,Net Banking,West,False
M00079,94,21070.98,224.15936170212765,5,0.05319148936170213,0.9468085106382979,Food Delivery,Large,235.23,99246,0.935,Credit Card,Central,False
M00080,102,82015.55,804.0740196078432,6,0.058823529411764705,0.9411764705882353,Media,Small,792.65,1838,0.94,Credit Card,East,True
M00081,106,46641.95,440.01839622641506,1,0.009433962264150943,0.9905660377358491,Media,Small,429.34,579,0.96,UPI,West,False
M00082,109,691192.38,6341.214495412844,4,0.03669724770642202,0.963302752293578,Education,Large,6468.63,20276,0.93,Debit Card,South,False
M00083,108,171440.88,1587.4155555555556,12,0.1111111111111111,0.8888888888888888,Retail,Small,1573.45,2439,0.925,Debit Card,North,False
M00084,90,35721.04,396.9004444444445,9,0.1,0.9,Food Delivery,Small,418.13,2987,0.915,Net Banking,East,False
M00085,96,37417.05,389.7609375,4,0.041666666666666664,0.9583333333333334,Gaming,Medium,413.49,3420,0.945,Wallet,South,False
M00086,96,108729.16,1132.5954166666668,9,0.09375,0.90625,Food Delivery,Large,1129.52,24961,0.955,UPI,West,False
M00087,86,157659.94,1833.2551162790699,6,0.06976744186046512,0.9302325581395349,Media,Small,1881.15,995,0.95,Wallet,East,False
M00088,87,61613.81,708.2047126436781,8,0.09195402298850575,0.9080459770114943,Food Delivery,Small,681.74,2572,0.955,UPI,Central,False
M00089,109,837360.25,7682.204128440367,6,0.05504587155963303,0.944954128440367,Education,Small,7725.51,2383,0.96,UPI,West,False
M00090,91,839475.58,9225.006373626373,8,0.08791208791208792,0.9120879120879121,Healthcare,Medium,9276.56,10921,0.93,Debit Card,East,False
M00091,98,1692318.27,17268.553775510205,5,0.05102040816326531,0.9489795918367347,Professional Services,Small,17122.43,854,0.925,Net Banking,East,False
M00092,116,520793.35,4489.597844827586,8,0.06896551724137931,0.9310344827586207,Healthcare,Medium,4410.9,3470,0.93,Debit Card,Central,False
M00093,116,842968.44,7266.969310344827,10,0.08620689655172414,0.9137931034482758,SaaS,Small,7084.07,2941,0.925,Net Banking,East,True
M00094,109,1283112.31,11771.67256880734,1,0.009174311926605505,0.9908256880733946,SaaS,Small,11640.9,2501,0.965,UPI,South,True
M00095,94,55613.12,591.6289361702128,6,0.06382978723404255,0.9361702127659575,E-commerce,Small,577.59,1705,0.935,Credit Card,West,False
M00096,100,171614.49,1716.1449,5,0.05,0.95,Gaming,Small,1705.07,1908,0.955,UPI,Central,False
M00097,98,721456.4,7361.8,8,0.08163265306122448,0.9183673469387755,Professional Services,Small,7273.86,994,0.945,Credit Card,West,False
M00098,119,1474462.26,12390.439159663865,4,0.03361344537815126,0.9663865546218487,SaaS,Medium,11863.26,7530,0.945,Credit Card,South,True
M00099,95,395194.6,4159.943157894737,6,0.06315789473684211,0.9368421052631579,Retail,Small,4246.83,1713,0.945,Wallet,East,False
M00100,89,65478.32,735.7114606741573,4,0.0449438202247191,0.9550561797752809,E-commerce,Small,704.82,723,0.955,UPI,Central,False
