merchant_id,transaction_count,total_transaction_value,average_transaction_value,failed_transactions,failure_rate,success_rate,merchant_category,merchant_size,avg_transaction_value,monthly_transaction_volume,baseline_success_rate,primary_payment_method,geography,subscription_enabled,merchant_risk_score,risk_category
M00024,98,81658.69,833.2519387755102,6,0.0612244897959183,0.9387755102040816,Gaming,Small,818.93,762,0.935,Credit Card,Central,False,20.104132729521677,Low
M00025,75,83829.2,1117.7226666666666,2,0.0266666666666666,0.9733333333333334,Food Delivery,Small,1120.19,741,0.955,UPI,South,False,14.597037343134753,Low
M00026,92,155654.31,1691.8946739130436,6,0.0652173913043478,0.9347826086956522,Retail,Medium,1753.15,10953,0.935,Credit Card,North,False,20.077347523219863,Low
M00027,99,169305.85,1710.160101010101,6,0.0606060606060606,0.9393939393939394,E-commerce,Large,1593.49,76993,0.935,Credit Card,Central,False,21.14499785910629,Low
M00028,102,245692.65,2408.7514705882354,6,0.0588235294117647,0.9411764705882352,E-commerce,Small,2349.96,721,0.955,UPI,West,False,22.34177528213395,Low
M00029,104,412672.31,3968.002980769231,7,0.0673076923076923,0.9326923076923076,Retail,Small,4102.67,947,0.925,Debit Card,West,False,24.823561609767765,Low
M00030,108,272316.5,2521.449074074074,4,0.037037037037037,0.962962962962963,E-commerce,Small,2581.83,808,0.955,UPI,West,False,22.51954536814053,Low
M00031,89,153015.68,1719.2773033707865,7,0.0786516853932584,0.9213483146067416,Media,Small,1713.65,560,0.92,Net Banking,North,False,20.225904230186096,Low
M00032,102,264409.9,2592.253921568628,5,0.0490196078431372,0.9509803921568628,Retail,Medium,2666.11,9570,0.935,Credit Card,South,False,22.04516376712519,Low
M00033,104,407084.93,3914.278173076923,2,0.0192307692307692,0.9807692307692308,E-commerce,Small,4028.32,2363,0.955,UPI,West,False,22.36192755876918,Low
M00034,95,142114.4,1495.941052631579,4,0.0421052631578947,0.9578947368421052,Gaming,Medium,1511.35,6111,0.925,Debit Card,Central,True,19.277571348736117,Low
M00035,118,221809.96,1879.7454237288132,8,0.0677966101694915,0.9322033898305084,Retail,Small,1911.22,705,0.955,UPI,Central,False,25.1880489047482,Low
M00036,99,81783.84,826.0993939393938,5,0.0505050505050505,0.9494949494949496,Food Delivery,Medium,860.18,6044,0.955,UPI,South,True,19.734744394447944,Low
M00037,98,732962.88,7479.21306122449,3,0.0306122448979591,0.9693877551020408,Education,Medium,7232.01,7033,0.96,UPI,West,True,25.309682969843013,Low
M00038,108,339303.4,3141.6981481481484,6,0.0555555555555555,0.9444444444444444,Education,Small,3214.59,1568,0.93,Debit Card,Central,True,24.138288336716123,Low
M00039,103,202971.68,1970.598834951456,4,0.0388349514563106,0.9611650485436892,Gaming,Small,1971.95,2372,0.955,UPI,West,False,21.065790800829358,Low
M00040,85,1082592.83,12736.386235294118,1,0.0117647058823529,0.9882352941176472,Professional Services,Small,12570.89,909,0.925,Net Banking,West,True,25.834619696697004,Low
M00041,102,455277.44,4463.504313725491,2,0.0196078431372549,0.9803921568627452,E-commerce,Small,4456.72,2013,0.945,Wallet,East,False,22.54863739468212,Low
M00042,91,908289.71,9981.205604395604,9,0.0989010989010989,0.9010989010989012,Healthcare,Small,9885.1,2666,0.93,Debit Card,East,True,29.380431779485733,Low
M00043,100,540997.81,5409.9781,7,0.07,0.93,Professional Services,Small,5282.95,972,0.955,Wallet,North,False,25.624236088062773,Low
M00044,92,1430163.31,15545.253369565218,7,0.0760869565217391,0.9239130434782608,Professional Services,Small,15199.41,1333,0.925,Net Banking,East,False,33.80253080716683,Medium
M00045,92,235756.69,2562.572717391304,6,0.0652173913043478,0.9347826086956522,Media,Small,2569.09,878,0.95,Wallet,East,False,20.905812402484315,Low
M00046,111,1490402.0,13427.045045045044,8,0.072072072072072,0.927927927927928,Professional Services,Small,13830.93,1572,0.925,Net Banking,East,True,37.36530562651879,Medium
M00047,98,166985.52,1703.9338775510205,3,0.0306122448979591,0.9693877551020408,Healthcare,Medium,1677.19,14321,0.96,UPI,Central,False,19.456019630266685,Low
M00048,98,74267.58,757.8324489795918,7,0.0714285714285714,0.9285714285714286,Food Delivery,Medium,758.72,3685,0.935,Credit Card,Central,False,20.53789370105223,Low
M00049,104,151298.01,1454.7885576923077,5,0.048076923076923,0.9519230769230768,Retail,Medium,1445.34,7088,0.945,Wallet,North,False,21.158739826406276,Low
M00050,104,1180670.7,11352.602884615384,4,0.0384615384615384,0.9615384615384616,SaaS,Small,11993.73,1469,0.955,Wallet,West,False,31.32433492762034,Medium
M00051,89,332363.92,3734.4260674157294,9,0.1011235955056179,0.898876404494382,Retail,Medium,3814.54,8442,0.955,UPI,West,False,23.204422373532086,Low
M00052,93,2339609.97,25157.096451612902,7,0.075268817204301,0.9247311827956988,Travel,Medium,24684.36,4771,0.93,Credit Card,South,False,43.33293346011368,Medium
M00053,94,401141.29,4267.460531914893,8,0.0851063829787234,0.9148936170212766,Education,Small,4222.12,1750,0.92,Net Banking,South,False,23.941343141232867,Low
M00054,95,91359.11,961.6748421052632,8,0.0842105263157894,0.9157894736842104,Media,Small,980.09,784,0.94,Credit Card,South,False,20.857894109081087,Low
M00055,100,1315456.54,13154.5654,9,0.09,0.91,SaaS,Medium,13123.93,8425,0.925,Net Banking,West,False,34.63413364971761,Medium
M00056,104,528713.66,5083.785192307692,7,0.0673076923076923,0.9326923076923076,E-commerce,Large,4925.98,20014,0.935,Credit Card,South,False,26.02372798456754,Low
M00057,100,918908.98,9189.0898,7,0.07,0.93,Healthcare,Medium,9858.12,4894,0.94,Credit Card,East,False,29.53281073748938,Low
M00058,87,124606.81,1432.262183908046,2,0.0229885057471264,0.9770114942528736,Food Delivery,Small,1403.25,2705,0.955,UPI,West,False,16.818345864559998,Low
M00059,91,72845.93,800.5047252747252,4,0.0439560439560439,0.956043956043956,Retail,Medium,814.88,13882,0.955,UPI,South,False,17.992539012174454,Low
M00060,101,57447.66,568.7887128712871,5,0.0495049504950495,0.9504950495049505,Food Delivery,Medium,590.42,8067,0.925,Debit Card,North,False,19.763619137525755,Low
M00061,93,737671.03,7931.946559139786,2,0.021505376344086,0.978494623655914,SaaS,Medium,8045.36,9211,0.965,UPI,Central,True,24.076587656022156,Low
M00062,106,479007.78,4518.941320754717,3,0.0283018867924528,0.9716981132075472,Retail,Medium,4251.76,7978,0.935,Credit Card,East,False,23.88992942536756,Low
M00063,93,483947.68,5203.738494623656,4,0.043010752688172,0.956989247311828,Healthcare,Small,4979.44,1375,0.94,Credit Card,East,False,22.52770367621441,Low
M00064,106,736793.83,6950.8851886792445,11,0.1037735849056603,0.8962264150943396,Professional Services,Large,7824.37,97960,0.925,Net Banking,South,False,30.329685907818906,Medium
M00065,112,165025.42,1473.44125,7,0.0625,0.9375,E-commerce,Large,1510.88,41100,0.925,Debit Card,South,False,23.3441844907306,Low
M00066,89,126560.81,1422.031573033708,3,0.0337078651685393,0.9662921348314608,Education,Large,1509.8,69321,0.92,Net Banking,Central,False,17.705101739734335,Low
M00067,120,58644.51,488.70425,6,0.05,0.95,Food Delivery,Medium,517.18,13748,0.935,Credit Card,West,False,22.941245991526788,Low
M00068,121,183418.7,1515.8570247933883,14,0.1157024793388429,0.884297520661157,Retail,Medium,1484.79,14401,0.925,Debit Card,North,False,27.682145642831706,Low
M00069,84,548312.62,6527.53119047619,7,0.0833333333333333,0.9166666666666666,Education,Small,6609.92,2675,0.94,Credit Card,North,False,23.721928627179352,Low
M00070,93,105325.09,1132.5278494623656,5,0.053763440860215,0.946236559139785,Food Delivery,Large,1135.06,81162,0.925,Debit Card,West,False,19.14940552062629,Low
M00071,106,274106.04,2585.9060377358487,7,0.0660377358490566,0.9339622641509434,Retail,Small,2636.03,1561,0.925,Debit Card,South,False,23.6575102481541,Low
M00072,105,92503.23,880.9831428571429,5,0.0476190476190476,0.9523809523809524,Media,Small,869.89,2301,0.94,Credit Card,Central,True,20.693045883228393,Low
M00073,111,448652.23,4041.9119819819816,5,0.045045045045045,0.954954954954955,SaaS,Small,3966.93,1117,0.925,Net Banking,East,True,25.239579064008694,Low
M00074,105,109007.11,1038.1629523809524,5,0.0476190476190476,0.9523809523809524,Gaming,Medium,1059.56,10633,0.935,Credit Card,North,False,20.86373850124542,Low
M00075,89,50538.58,567.8492134831461,2,0.0224719101123595,0.9775280898876404,E-commerce,Small,587.89,2858,0.945,Wallet,Central,False,16.357038365374972,Low
M00076,111,862331.0,7768.747747747748,13,0.1171171171171171,0.8828828828828829,Education,Small,7674.01,2216,0.92,Net Banking,West,True,33.121686405482706,Medium
M00077,112,849071.08,7580.991785714285,6,0.0535714285714285,0.9464285714285714,Professional Services,Medium,7639.9,10956,0.945,Credit Card,South,True,29.972549516237237,Low
M00078,103,1274968.33,12378.333300970877,9,0.087378640776699,0.912621359223301,SaaS,Medium,13086.07,5091,0.925,Net Banking,West,False,34.580181105353766,Medium
M00079,94,21070.98,224.15936170212763,5,0.0531914893617021,0.946808510638298,Food Delivery,Large,235.23,99246,0.935,Credit Card,Central,False,18.414692743396213,Low
M00080,102,82015.55,804.0740196078432,6,0.0588235294117647,0.9411764705882352,Media,Small,792.65,1838,0.94,Credit Card,East,True,20.648932586450556,Low
M00081,106,46641.95,440.0183962264151,1,0.0094339622641509,0.9905660377358492,Media,Small,429.34,579,0.96,UPI,West,False,18.47475714000111,Low
M00082,109,691192.38,6341.214495412844,4,0.036697247706422,0.963302752293578,Education,Large,6468.63,20276,0.93,Debit Card,South,False,27.000100396054357,Low
M00083,108,171440.88,1587.4155555555556,12,0.1111111111111111,0.8888888888888888,Retail,Small,1573.45,2439,0.925,Debit Card,North,False,25.17993539821773,Low
M00084,90,35721.04,396.9004444444445,9,0.1,0.9,Food Delivery,Small,418.13,2987,0.915,Net Banking,East,False,20.2454805959993,Low
M00085,96,37417.05,389.7609375,4,0.0416666666666666,0.9583333333333334,Gaming,Medium,413.49,3420,0.945,Wallet,South,False,18.338090577284735,Low
M00086,96,108729.16,1132.5954166666668,9,0.09375,0.90625,Food Delivery,Large,1129.52,24961,0.955,UPI,West,False,21.67980809576434,Low
M00087,86,157659.94,1833.2551162790696,6,0.0697674418604651,0.9302325581395348,Media,Small,1881.15,995,0.95,Wallet,East,False,19.333857892694038,Low
M00088,87,61613.81,708.2047126436781,8,0.0919540229885057,0.9080459770114944,Food Delivery,Small,681.74,2572,0.955,UPI,Central,False,19.615111894592694,Low
M00089,109,837360.25,7682.204128440367,6,0.055045871559633,0.944954128440367,Education,Small,7725.51,2383,0.96,UPI,West,False,29.429283758524242,Low
M00090,91,839475.58,9225.006373626373,8,0.0879120879120879,0.912087912087912,Healthcare,Medium,9276.56,10921,0.93,Debit Card,East,False,28.119265923921454,Low
M00091,98,1692318.27,17268.553775510205,5,0.0510204081632653,0.9489795918367347,Professional Services,Small,17122.43,854,0.925,Net Banking,East,False,36.25229628291847,Medium
M00092,116,520793.35,4489.597844827586,8,0.0689655172413793,0.9310344827586208,Healthcare,Medium,4410.9,3470,0.93,Debit Card,Central,False,28.00817390479743,Low
M00093,116,842968.44,7266.969310344827,10,0.0862068965517241,0.9137931034482758,SaaS,Small,7084.07,2941,0.925,Net Banking,East,True,32.20236292765708,Medium
M00094,109,1283112.31,11771.67256880734,1,0.0091743119266055,0.9908256880733946,SaaS,Small,11640.9,2501,0.965,UPI,South,True,31.745929924642013,Medium
M00095,94,55613.12,591.6289361702128,6,0.0638297872340425,0.9361702127659576,E-commerce,Small,577.59,1705,0.935,Credit Card,West,False,19.303862313399076,Low
M00096,100,171614.49,1716.1449,5,0.05,0.95,Gaming,Small,1705.07,1908,0.955,UPI,Central,False,20.803861367535095,Low
M00097,98,721456.4,7361.8,8,0.0816326530612244,0.9183673469387756,Professional Services,Small,7273.86,994,0.945,Credit Card,West,False,27.741696744695773,Low
M00098,119,1474462.26,12390.439159663863,4,0.0336134453781512,0.9663865546218487,SaaS,Medium,11863.26,7530,0.945,Credit Card,South,True,36.59983038369833,Medium
M00099,95,395194.6,4159.943157894737,6,0.0631578947368421,0.936842105263158,Retail,Small,4246.83,1713,0.945,Wallet,East,False,22.947703897532605,Low
M00100,89,65478.32,735.7114606741573,4,0.0449438202247191,0.9550561797752808,E-commerce,Small,704.82,723,0.955,UPI,Central,False,17.63514925362381,Low
