merchant_id,transaction_count,total_transaction_value,average_transaction_value,failed_transactions,injected_anomaly_count,failure_rate,success_rate,has_injected_incident,anomaly_prediction,anomaly_score,predicted_anomaly,failed_transaction_value,estimated_recoverable_value,priority_score
M00090,91,839475.58,9225.006373626373,8,0,0.0879120879120879,0.912087912087912,0,1,0.1006730978081359,0,73800.05098901098,22140.015296703295,24086.390267842045
M00093,116,842968.44,7266.969310344827,10,0,0.0862068965517241,0.9137931034482758,0,1,0.0651945976785277,0,72669.69310344824,21800.90793103447,23680.296545778823
M00028,102,245692.65,2408.7514705882354,26,20,0.2549019607843137,0.7450980392156863,1,-1,-0.1248100840231033,1,62627.53823529411,18788.261470588233,23577.426159169547
M00057,100,918908.98,9189.0898,7,0,0.07,0.93,0,1,0.1296362610636194,0,64323.628600000004,19297.08858,20647.8847806
M00012,89,944966.32,10617.599101123596,6,0,0.0674157303370786,0.9325842696629214,0,1,0.0927145109761169,0,63705.59460674151,19111.678382022452,20400.106138113853
M00003,102,413727.21,4056.149117647059,14,8,0.1372549019607843,0.8627450980392157,1,1,0.0010020095154119,0,56786.08764705882,17035.826294117644,19374.076961937713
M00097,98,721456.4,7361.8,8,0,0.0816326530612244,0.9183673469387756,0,1,0.1244467973470391,0,58894.399999999936,17668.31999999998,19110.631836734672
M00020,108,921179.29,8529.437870370371,7,0,0.0648148148148148,0.9351851851851852,0,1,0.1222742684666994,0,59706.06509259258,17911.819527777774,19072.770793467076
M00017,96,1018404.53,10608.380520833334,5,0,0.0520833333333333,0.9479166666666666,0,1,0.1000804792705306,0,53041.90260416664,15912.57078124999,16741.350509440093
M00098,119,1474462.26,12390.439159663863,4,0,0.0336134453781512,0.9663865546218487,0,-1,-0.0197035694480728,1,49561.756638655366,14868.52699159661,15368.309411482207
M00069,84,548312.62,6527.53119047619,7,0,0.0833333333333333,0.9166666666666666,0,1,0.069390423962716,0,45692.718333333316,13707.815499999995,14850.133458333326
M00089,109,837360.25,7682.204128440367,6,0,0.055045871559633,0.944954128440367,0,1,0.1335578104604201,0,46093.224770642184,13827.967431192656,14589.139950340874
M00077,112,849071.08,7580.991785714285,6,0,0.0535714285714285,0.9464285714285714,0,1,0.1181864369448475,0,45485.95071428565,13645.785214285695,14376.809422193859
M00050,104,1180670.7,11352.602884615384,4,0,0.0384615384615384,0.9615384615384616,0,1,0.0711604626979927,0,45410.41153846146,13623.123461538438,14147.089748520684
M00023,90,648267.28,7202.969777777778,6,0,0.0666666666666666,0.9333333333333332,0,1,0.1308473690764495,0,43217.81866666662,12965.345599999986,13829.701973333318
M00007,114,334172.01,2931.333421052632,13,0,0.1140350877192982,0.8859649122807017,0,1,0.0393149679215821,0,38107.3344736842,11432.20034210526,12735.872310941822
M00043,100,540997.81,5409.9781,7,0,0.07,0.93,0,1,0.1540634757379511,0,37869.84670000001,11360.954010000003,12156.220790700005
M00011,112,827433.1799999999,7387.796249999999,5,0,0.0446428571428571,0.9553571428571428,0,1,0.1109190438529166,0,36938.98124999996,11081.694374999988,11576.412873883917
M00092,116,520793.35,4489.597844827586,8,0,0.0689655172413793,0.9310344827586208,0,1,0.101537366421534,0,35916.78275862068,10775.034827586203,11518.14067776456
M00056,104,528713.66,5083.785192307692,7,0,0.0673076923076923,0.9326923076923076,0,1,0.1591809731011776,0,35586.49634615385,10675.948903846154,11394.522387758876
M00053,94,401141.29,4267.460531914893,8,0,0.0851063829787234,0.9148936170212766,0,1,0.1391216832878086,0,34139.684255319145,10241.905276595744,11113.556789497508
M00051,89,332363.92,3734.4260674157294,9,0,0.1011235955056179,0.898876404494382,0,1,0.0931443606077357,0,33609.83460674155,10082.950382022464,11102.574577957319
M00018,92,747861.91,8128.933804347826,4,0,0.0434782608695652,0.9565217391304348,0,1,0.1174558671147056,0,32515.735217391295,9754.720565217389,10178.838850661623
M00014,105,443463.32,4223.46019047619,7,0,0.0666666666666666,0.9333333333333332,0,1,0.1686850707762551,0,29564.221333333302,8869.26639999999,9460.550826666655
M00029,104,412672.31,3968.002980769231,7,0,0.0673076923076923,0.9326923076923076,0,1,0.1708292566932656,0,27776.020865384613,8332.806259615383,8893.668219397188
M00099,95,395194.6,4159.943157894737,6,0,0.0631578947368421,0.936842105263158,0,1,0.1664988922507013,0,24959.658947368414,7487.897684210524,7960.817537950135
M00082,109,691192.38,6341.214495412844,4,0,0.036697247706422,0.963302752293578,0,1,0.1161611336088936,0,25364.857981651363,7609.457394495408,7888.703537412671
M00019,85,413533.53,4865.100352941176,5,0,0.0588235294117647,0.9411764705882352,0,1,0.0979005291616578,0,24325.50176470588,7297.650529411764,7726.924089965398
M00068,121,183418.7,1515.8570247933883,14,0,0.1157024793388429,0.884297520661157,0,-1,-0.0166304300355428,1,21221.998347107423,6366.599504132227,7103.230851717773
M00013,105,250280.46,2383.6234285714286,9,0,0.0857142857142857,0.9142857142857144,0,1,0.1422191517281646,0,21452.610857142852,6435.783257142855,6987.421822040814
M00037,98,732962.88,7479.21306122449,3,0,0.0306122448979591,0.9693877551020408,0,1,0.1156284425564574,0,22437.639183673407,6731.291755102022,6937.351706788818
M00063,93,483947.68,5203.738494623656,4,0,0.043010752688172,0.956989247311828,0,1,0.1365112284346015,0,20814.953978494603,6244.4861935483805,6513.066244883795
M00006,96,326288.77,3398.841354166667,6,0,0.0625,0.9375,0,1,0.1669089517604282,0,20393.048125,6117.9144375000005,6500.284089843751
M00083,108,171440.88,1587.4155555555556,12,0,0.1111111111111111,0.8888888888888888,0,1,0.0791623161151192,0,19048.986666666668,5714.696,6349.662222222222
M00073,111,448652.23,4041.9119819819816,5,0,0.045045045045045,0.954954954954955,0,1,0.1364055562955194,0,20209.55990990989,6062.867972972967,6335.970133917695
M00038,108,339303.4,3141.6981481481484,6,0,0.0555555555555555,0.9444444444444444,0,1,0.1564145255002484,0,18850.18888888887,5655.056666666661,5969.226481481475
M00071,106,274106.04,2585.9060377358487,7,0,0.0660377358490566,0.9339622641509434,0,1,0.1698343194050592,0,18101.342264150942,5430.402679245282,5789.014176931292
M00045,92,235756.69,2562.572717391304,6,0,0.0652173913043478,0.9347826086956522,0,1,0.165605150165434,0,15375.436304347819,4612.630891304346,4913.454645085064
M00061,93,737671.03,7931.946559139786,2,0,0.021505376344086,0.978494623655914,0,1,0.084035011393523,0,15863.893118279553,4759.167935483866,4861.515633021154
M00035,118,221809.96,1879.7454237288127,8,0,0.0677966101694915,0.9322033898305084,0,1,0.1030028106149482,0,15037.963389830502,4511.389016949151,4817.245899454178
M00062,106,479007.78,4518.941320754717,3,0,0.0283018867924528,0.9716981132075472,0,1,0.1267820387424018,0,13556.823962264138,4067.047188679241,4182.152297792804
M00032,102,264409.9,2592.253921568628,5,0,0.0490196078431372,0.9509803921568628,0,1,0.1800015107080411,0,12961.269607843124,3888.380882352937,4078.98778835063
M00031,89,153015.68,1719.2773033707865,7,0,0.0786516853932584,0.9213483146067416,0,1,0.1386802534438885,0,12034.941123595501,3610.4823370786503,3894.4528579724765
M00040,85,1082592.83,12736.386235294118,1,0,0.0117647058823529,0.9882352941176472,0,-1,-0.0324102364122442,1,12736.386235294074,3820.915870588222,3865.867822006907
M00010,89,178847.57,2009.5232584269663,6,0,0.0674157303370786,0.9325842696629214,0,1,0.1632565423951708,0,12057.139550561787,3617.1418651685362,3860.994125741696
M00094,109,1283112.31,11771.67256880734,1,0,0.0091743119266055,0.9908256880733946,0,-1,-0.015797076239128,1,11771.672568807335,3531.5017706422004,3563.9008694554313
M00087,86,157659.94,1833.2551162790696,6,0,0.0697674418604651,0.9302325581395348,0,1,0.1370216871406861,0,10999.530697674416,3299.859209302325,3530.081944835045
M00004,103,224863.81,2183.143786407767,5,0,0.0485436893203883,0.9514563106796116,0,1,0.1804626347827126,0,10915.718932038824,3274.7156796116474,3433.6824601753196
M00015,92,195142.37,2121.112717391304,5,0,0.0543478260869565,0.9456521739130436,0,1,0.162686250349318,0,10605.563586956518,3181.669076086955,3354.585873700377
M00086,96,108729.16,1132.5954166666668,9,0,0.09375,0.90625,0,1,0.132206328142491,0,10193.35875,3058.0076249999997,3344.6958398437496
M00065,112,165025.42,1473.44125,7,0,0.0625,0.9375,0,1,0.145308123278051,0,10314.08875,3094.2266250000002,3287.6157890625004
M00027,99,169305.85,1710.160101010101,6,0,0.0606060606060606,0.9393939393939394,0,1,0.1811078321487896,0,10260.960606060606,3078.288181818182,3264.8511019283746
M00026,92,155654.31,1691.8946739130436,6,0,0.0652173913043478,0.9347826086956522,0,1,0.173784455069121,0,10151.368043478256,3045.4104130434766,3244.024135633269
M00021,103,266470.06,2587.0879611650485,4,0,0.0388349514563106,0.9611650485436892,0,1,0.1693652082592195,0,10348.351844660172,3104.5055533980517,3225.068875860112
M00030,108,272316.5,2521.449074074074,4,0,0.037037037037037,0.962962962962963,0,1,0.1547437920632387,0,10085.796296296287,3025.738888888886,3137.803292181067
M00016,107,107349.67,1003.2679439252336,9,0,0.0841121495327102,0.9158878504672896,0,1,0.1388743387780961,0,9029.411495327095,2708.8234485981284,2936.6684115643257
M00041,102,455277.44,4463.504313725491,2,0,0.0196078431372549,0.9803921568627452,0,1,0.1091525942121784,0,8927.00862745098,2678.1025882352938,2730.6144036908877
M00096,100,171614.49,1716.1449,5,0,0.05,0.95,0,1,0.1833057499792918,0,8580.7245,2574.21735,2702.9282175
M00054,95,91359.11,961.6748421052632,8,0,0.0842105263157894,0.9157894736842104,0,1,0.1499024124789724,0,7693.3987368420985,2308.0196210526296,2502.37916808864
M00002,110,105707.67,960.9788181818182,8,0,0.0727272727272727,0.9272727272727272,0,1,0.1407185214507946,0,7687.830545454542,2306.3491636363624,2474.0836482644613
M00039,103,202971.68,1970.598834951456,4,0,0.0388349514563106,0.9611650485436892,0,1,0.1693498255454016,0,7882.395339805808,2364.7186019417422,2456.552334055985
M00033,104,407084.93,3914.278173076923,2,0,0.0192307692307692,0.9807692307692308,0,1,0.1074340544014952,0,7828.556346153834,2348.56690384615,2393.7316519970373
M00049,104,151298.01,1454.7885576923077,5,0,0.048076923076923,0.9519230769230768,0,1,0.1799958032432618,0,7273.942788461528,2182.182836538458,2287.095472910499
M00034,95,142114.4,1495.941052631579,4,0,0.0421052631578947,0.9578947368421052,0,1,0.1674818128038848,0,5983.76421052631,1795.129263157893,1870.7136531855938
M00088,87,61613.81,708.2047126436781,8,0,0.0919540229885057,0.9080459770114944,0,1,0.1019587257081907,0,5665.637701149422,1699.6913103448267,1855.984764169638
M00070,93,105325.09,1132.5278494623656,5,0,0.053763440860215,0.946236559139785,0,1,0.1728738706925553,0,5662.639247311822,1698.7917741935466,1790.124665279221
M00048,98,74267.58,757.8324489795918,7,0,0.0714285714285714,0.9285714285714286,0,1,0.162617580813599,0,5304.827142857141,1591.448142857142,1705.1230102040809
M00074,105,109007.11,1038.1629523809524,5,0,0.0476190476190476,0.9523809523809524,0,1,0.1785171757945414,0,5190.81476190476,1557.244428571428,1631.3989251700675
M00024,98,81658.69,833.2519387755102,6,0,0.0612244897959183,0.9387755102040816,0,1,0.1774584797364278,0,4999.511632653055,1499.8534897959164,1591.6812544772988
M00047,98,166985.52,1703.9338775510205,3,0,0.0306122448979591,0.9693877551020408,0,1,0.1501703054080202,0,5111.801632653047,1533.540489795914,1580.4856068304828
M00080,102,82015.55,804.0740196078432,6,0,0.0588235294117647,0.9411764705882352,0,1,0.1754961205058468,0,4824.444117647058,1447.3332352941175,1532.4704844290657
M00072,105,92503.23,880.9831428571429,5,0,0.0476190476190476,0.9523809523809524,0,1,0.1779006850276116,0,4404.915714285713,1321.4747142857138,1384.4020816326527
M00001,115,43193.24,375.5933913043478,11,0,0.0956521739130434,0.9043478260869564,0,1,0.0548685135463358,0,4131.527304347823,1239.4581913043469,1358.0150617769364
M00066,89,126560.81,1422.031573033708,3,0,0.0337078651685393,0.9662921348314608,0,1,0.1401048522065246,0,4266.09471910112,1279.828415730336,1322.9686994066392
M00036,99,81783.84,826.0993939393938,5,0,0.0505050505050505,0.9494949494949496,0,1,0.17506241207899,0,4130.496969696969,1239.1490909090908,1301.732378328742
M00084,90,35721.04,396.9004444444445,9,0,0.1,0.9,0,1,0.0880840013783622,0,3572.1040000000003,1071.6312,1178.7943200000002
M00095,94,55613.12,591.6289361702128,6,0,0.0638297872340425,0.9361702127659576,0,1,0.1641562041709331,0,3549.7736170212743,1064.9320851063821,1132.9064735174277
M00059,91,72845.93,800.5047252747252,4,0,0.0439560439560439,0.956043956043956,0,1,0.1495014881323954,0,3202.0189010988965,960.6056703296689,1002.8300953991047
M00067,120,58644.51,488.70425,6,0,0.05,0.95,0,1,0.0894683432613049,0,2932.2255000000005,879.6676500000001,923.6510325000002
M00100,89,65478.32,735.7114606741573,4,0,0.0449438202247191,0.9550561797752808,0,1,0.1460054420267831,0,2942.845842696629,882.8537528089887,922.5325731599546
M00060,101,57447.66,568.7887128712871,5,0,0.0495049504950495,0.9504950495049505,0,1,0.1686777730453185,0,2843.9435643564357,853.1830693069306,895.4198549161847
M00058,87,124606.81,1432.262183908046,2,0,0.0229885057471264,0.9770114942528736,0,1,0.1077633777586912,0,2864.5243678160873,859.3573103448261,879.1126508125233
M00025,75,83829.2,1117.7226666666666,2,0,0.0266666666666666,0.9733333333333334,0,-1,-0.0104578599270726,1,2235.4453333333277,670.6335999999983,688.5171626666648
M00009,94,77409.52,823.5055319148937,2,0,0.0212765957446808,0.9787234042553192,0,1,0.1164460156624381,0,1647.0110638297833,494.103319148935,504.61615572657183
M00022,97,39022.2,402.2907216494845,4,0,0.0412371134020618,0.9587628865979382,0,1,0.1498034548334995,0,1609.1628865979358,482.7488659793807,502.6560357104891
M00085,96,37417.05,389.7609375,4,0,0.0416666666666666,0.9583333333333334,0,1,0.1478723350445053,0,1559.0437499999978,467.7131249999993,487.2011718749992
M00079,94,21070.98,224.15936170212763,5,0,0.0531914893617021,0.946808510638298,0,1,0.1352912199066348,0,1120.7968085106377,336.23904255319127,354.1240980081482
M00075,89,50538.58,567.8492134831461,2,0,0.0224719101123595,0.9775280898876404,0,1,0.1021690187204613,0,1135.6984269662896,340.7095280898869,348.3659219795473
M00081,106,46641.95,440.0183962264151,1,0,0.0094339622641509,0.9905660377358492,0,1,0.0334007392821634,0,440.018396226413,132.0055188679239,133.25085395158357
