merchant_id,transaction_count,total_transaction_value,failed_transactions,successful_transactions,failure_rate,merchant_type,merchant_category,merchant_size,avg_transaction_value,monthly_transaction_volume,baseline_success_rate,primary_payment_method,geography,subscription_enabled,failure_rate_zscore,transaction_volume_zscore,transaction_value_zscore,anomaly_score
M00035,118,221809.96,8,110,0.0677966101694915,Normal,Retail,Small,1911.22,705,0.955,UPI,Central,False,0.2881130650656564,1.9400786547395241,-0.5124461715417569,0.6633728042956502
M00002,110,105707.67,8,102,0.0727272727272727,Normal,Retail,Small,921.63,1452,0.955,UPI,West,False,0.4846444683862371,1.0778214748552912,-0.7394699956528253,0.6542449751333657
M00087,86,157659.94,6,80,0.0697674418604651,Normal,Media,Small,1881.15,995,0.95,Wallet,East,False,0.36666849517199374,-1.5089500647974077,-0.6378836875218595,0.6493678475670497
M00097,98,721456.4,8,90,0.0816326530612244,Normal,Professional Services,Small,7273.86,994,0.945,Credit Card,West,False,0.839604247852998,-0.21556429497105822,0.46455131500464575,0.6397856707069397
M00073,111,448652.23,5,106,0.045045045045045,Normal,SaaS,Small,3966.93,1117,0.925,Net Banking,East,True,-0.6187421433871368,1.1856036223408202,-0.06888386449823942,0.622142783400094
M00012,89,944966.32,6,83,0.0674157303370786,Normal,SaaS,Medium,10714.22,5340,0.925,Net Banking,West,True,0.27293156621364406,-1.1856036223408202,0.9015976193037166,0.5811991880570938
M00063,93,483947.68,4,89,0.043010752688172,Normal,Healthcare,Small,4979.44,1375,0.94,Credit Card,East,False,-0.6998270537770488,-0.7544750323987038,0.0001320699223565416,0.5708176527304414
M00072,105,92503.23,5,100,0.0476190476190476,Normal,Media,Small,869.89,2301,0.94,Credit Card,Central,True,-0.5161449098325532,0.5389107374276456,-0.7652896626382496,0.570527025912711
M00077,112,849071.08,6,106,0.0535714285714285,Normal,Professional Services,Medium,7639.9,10956,0.945,Credit Card,South,True,-0.2788888072375835,1.2933857698263493,0.7140862093319693,0.5688276801742138
M00074,105,109007.11,5,100,0.0476190476190476,Normal,Gaming,Medium,1059.56,10633,0.935,Credit Card,North,False,-0.5161449098325532,0.5389107374276456,-0.7330183443871611,0.5640727622624933
M00092,116,520793.35,8,108,0.0689655172413793,Normal,Healthcare,Medium,4410.9,3470,0.93,Debit Card,Central,False,0.33470456154251876,1.7245143597684658,0.07217926989864011,0.5601614628589324
M00010,89,178847.57,6,83,0.0674157303370786,Normal,Retail,Medium,1959.27,3916,0.955,UPI,Central,False,0.27293156621364406,-1.1856036223408202,-0.5964538691569471,0.5201704380277399
M00049,104,151298.01,5,99,0.048076923076923,Normal,Retail,Medium,1445.34,7088,0.945,Wallet,North,False,-0.49789444040217307,0.43112858994211645,-0.650323663316712,0.5150271148930695
M00017,96,1018404.53,5,91,0.0520833333333333,Normal,Professional Services,Small,10713.3,1578,0.945,Credit Card,East,False,-0.3382028328863249,-0.43112858994211645,1.045197054509273,0.49818682862207286
M00079,94,21070.98,5,89,0.0531914893617021,Normal,Food Delivery,Large,235.23,99246,0.935,Credit Card,Central,False,-0.29403281378619694,-0.6466928849131747,-0.9049666884734667,0.4867516029490465
M00089,109,837360.25,6,103,0.055045871559633,Normal,Education,Small,7725.51,2383,0.96,UPI,West,False,-0.22011894696176285,0.9700393273697621,0.6911871139729147,0.46431665644559306
M00048,98,74267.58,7,91,0.0714285714285714,Normal,Food Delivery,Medium,758.72,3685,0.935,Credit Card,Central,False,0.4328795005473341,-0.21556429497105822,-0.8009472452591523,0.4630300083744425
M00070,93,105325.09,5,88,0.053763440860215,Normal,Food Delivery,Large,1135.06,81162,0.925,Debit Card,West,False,-0.2712353845732289,-0.7544750323987038,-0.7402180840378899,0.46167985403125605
M00004,103,224863.81,5,98,0.0485436893203883,Normal,Education,Medium,2088.36,8514,0.96,UPI,West,True,-0.4792895929245978,0.32334644245658734,-0.5064747414755489,0.4535379925411859
M00060,101,57447.66,5,96,0.0495049504950495,Normal,Food Delivery,Medium,590.42,8067,0.925,Debit Card,North,False,-0.44097465950543296,0.10778214748552911,-0.8338365410658263,0.4529085334135309
M00020,108,921179.29,7,101,0.0648148148148148,Normal,Healthcare,Small,8484.99,1759,0.92,Net Banking,East,False,0.16926160877514354,0.8622571798842329,0.8550849922500668,0.4450253996919461
M00015,92,195142.37,5,87,0.0543478260869565,Normal,E-commerce,Medium,2217.29,10668,0.955,UPI,Central,False,-0.24794235907301995,-0.8622571798842329,-0.5645913812669576,0.4341351276740501
M00065,112,165025.42,7,105,0.0625,Normal,E-commerce,Large,1510.88,41100,0.925,Debit Card,South,False,0.07699534665487737,1.2933857698263493,-0.6234813924765716,0.4295706404535106
M00023,90,648267.28,6,84,0.0666666666666666,Normal,Healthcare,Small,7208.81,1776,0.92,Net Banking,Central,False,0.24307461847135495,-1.0778214748552912,0.32143894482035495,0.42569685501794224
M00036,99,81783.84,5,94,0.0505050505050505,Normal,Food Delivery,Medium,860.18,6044,0.955,UPI,South,True,-0.40111164796832405,-0.10778214748552911,-0.7862501183703281,0.41947344195216585
M00026,92,155654.31,6,86,0.0652173913043478,Normal,Retail,Medium,1753.15,10953,0.935,Credit Card,North,False,0.18530791523084167,-0.8622571798842329,-0.6418054516175711,0.41199727543886583
M00032,102,264409.9,5,97,0.0490196078431372,Normal,Retail,Medium,2666.11,9570,0.935,Credit Card,South,False,-0.4603199445160908,0.21556429497105822,-0.4291472005593406,0.4051342658157342
M00057,100,918908.98,7,93,0.07,Normal,Healthcare,Medium,9858.12,4894,0.94,Credit Card,East,False,0.37593803592454234,0.0,0.8506456787953743,0.39569195731380025
M00019,85,413533.53,5,80,0.0588235294117647,Normal,E-commerce,Medium,4650.95,3009,0.945,Wallet,Central,False,-0.06954518730084094,-1.6167322122829368,-0.1375541859174756,0.3925843920205871
M00045,92,235756.69,6,86,0.0652173913043478,Normal,Media,Small,2569.09,878,0.95,Wallet,East,False,0.18530791523084167,-0.8622571798842329,-0.4851750472732815,0.3806711945700079
M00096,100,171614.49,5,95,0.05,Normal,Gaming,Small,1705.07,1908,0.955,UPI,Central,False,-0.4212424687945637,0.0,-0.6105972722000851,0.3748649357167552
M00095,94,55613.12,6,88,0.0638297872340425,Normal,E-commerce,Small,577.59,1705,0.935,Credit Card,West,False,0.1299993695750288,-0.6466928849131747,-0.8374237595977322,0.3748229506471986
M00038,108,339303.4,6,102,0.0555555555555555,Normal,Education,Small,3214.59,1568,0.93,Debit Card,Central,True,-0.19980343970592562,0.8622571798842329,-0.28270212379933607,0.34887392456026917
M00071,106,274106.04,7,99,0.0660377358490566,Normal,Retail,Small,2636.03,1561,0.925,Debit Card,South,False,0.21800604914056823,0.6466928849131747,-0.4101875850175947,0.3421797234704948
M00029,104,412672.31,7,97,0.0673076923076923,Normal,Retail,Small,4102.67,947,0.925,Debit Card,West,False,0.26862527567389305,0.43112858994211645,-0.1392381962656,0.2752485226458791
M00014,105,443463.32,7,98,0.0666666666666666,Normal,E-commerce,Large,3901.02,29371,0.935,Credit Card,Central,False,0.24307461847135495,0.5389107374276456,-0.07903014319065935,0.2694329472064739
M00056,104,528713.66,7,97,0.0673076923076923,Normal,E-commerce,Large,4925.98,20014,0.935,Credit Card,South,False,0.26862527567389305,0.43112858994211645,0.08766646713088376,0.2649341768189359
M00003,102,413727.21,7,95,0.0686274509803921,Incident,Education,Small,4144.46,1639,0.94,Credit Card,Central,False,0.3212295699144048,0.21556429497105822,-0.13717546837233646,0.2632856946173218
M00043,100,540997.81,7,93,0.07,Normal,Professional Services,Small,5282.95,972,0.955,Wallet,North,False,0.37593803592454234,0.0,0.1116866196098227,0.24790014547668993
M00080,102,82015.55,6,96,0.0588235294117647,Normal,Media,Small,792.65,1838,0.94,Credit Card,East,True,-0.06954518730084094,0.21556429497105822,-0.785797037812789,0.24199937893727402
M00024,98,81658.69,6,92,0.0612244897959183,Normal,Gaming,Small,818.93,762,0.935,Credit Card,Central,False,0.02615475324166626,-0.21556429497105822,-0.7864948338844451,0.21610467771610042
M00099,95,395194.6,6,89,0.0631578947368421,Normal,Retail,Small,4246.83,1713,0.945,Wallet,East,False,0.10321838957326854,-0.5389107374276456,-0.17341371994307672,0.2043959252181056
M00006,96,326288.77,6,90,0.0625,Normal,Retail,Small,3328.88,1981,0.955,UPI,Central,False,0.07699534665487737,-0.43112858994211645,-0.3081506405511644,0.1940530540915826
M00028,102,245692.65,6,96,0.0588235294117647,Incident,E-commerce,Small,2349.96,721,0.955,UPI,West,False,-0.06954518730084094,0.21556429497105822,-0.4657464930611758,0.1779892699869514
M00027,99,169305.85,6,93,0.0606060606060606,Normal,E-commerce,Large,1593.49,76993,0.935,Credit Card,Central,False,0.0015047685564769761,-0.10778214748552911,-0.6151115352804754,0.14548159768708707
